axis    vel     acc 	dec 	jerk    kp	kd	ki	kvff    kaff	kout	il	ol	bias	error limit
pan     300.0	300.0	300.0	0.0     400	400	50	0	0	65535	1000	32767	0	150
tilt    300.0   300.0   300.0   0.0     400	400	50	0	0	65535	1000	32767	0	100
# entries	# rates	rates	description
15791	1 10	Berkeley
-8.02	0.08	-0.01
-8.02	0.16	-0.02
-8.76	0.27	-0.04
-7.2	0.45	-0.04
-7.25	0.48	-0.05
-7.04	0.6	-0.06
-7.04	0.64	-0.07
-7.02	0.73	-0.07
-7.14	0.81	-0.08
-7.09	0.89	-0.09
-6.94	0.99	-0.1
-6.94	1.05	-0.1
-7.02	1.09	-0.1
-7.07	1.12	-0.11
-6.98	1.2	-0.11
-6.85	1.26	-0.11
-6.85	1.29	-0.11
-6.76	1.36	-0.11
-6.87	1.41	-0.11
-6.76	1.42	-0.11
-6.88	1.52	-0.11
-6.88	1.52	-0.1
-6.7	1.54	-0.09
-6.62	1.55	-0.09
-6.51	1.63	-0.09
-6.64	1.65	-0.09
-6.64	1.78	-0.1
-6.7	1.84	-0.09
-6.68	1.88	-0.09
-6.68	1.95	-0.09
-6.58	2.02	-0.08
-6.38	2.04	-0.07
-6.51	2.04	-0.08
-6.5	2.07	-0.07
-6.5	2.08	-0.07
-6.34	2.04	-0.07
-6.51	2.05	-0.07
-6.51	1.99	-0.05
-6.5	2.02	-0.05
-6.5	2.09	-0.05
-6.38	2.14	-0.05
-6.43	2.17	-0.05
-6.26	2.23	-0.05
-6.38	2.31	-0.04
-6.38	2.35	-0.04
-6.34	2.36	-0.04
-6.24	2.34	-0.03
-6.33	2.38	-0.04
-6.31	2.43	-0.03
-6.31	2.51	-0.02
-6.15	2.53	-0.02
-6.15	2.52	-0.01
-6.15	2.54	0
-6.15	2.51	-0.01
-6.28	2.55	0
-6.19	2.57	0
-6.25	2.59	0
-6.25	2.57	0.01
-6.32	2.52	0.02
-6.25	2.51	0.02
-6.25	2.45	0.03
-6.24	2.45	0.03
-6.24	2.41	0.03
-6.23	2.41	0.04
-6.21	2.46	0.03
-6.1	2.46	0.04
-6.18	2.5	0.05
-6.18	2.57	0.04
-6.19	2.61	0.05
-6.09	2.6	0.05
-6.1	2.66	0.05
-6.09	2.66	0.04
-6.09	2.58	0.04
-6.13	2.55	0.04
-6.16	2.51	0.04
-6.08	2.45	0.03
-6.42	2.45	0.03
-6.42	2.42	0.03
-6.21	2.39	0.03
-6.21	2.39	0.05
-6.22	2.44	0.04
-6.19	2.37	0.05
-6.22	2.36	0.05
-6.12	2.34	0.05
-6.24	2.33	0.05
-6.24	2.31	0.05
-6.4	2.36	0.04
-6.14	2.35	0.04
-6.23	2.35	0.05
-6.37	2.38	0.05
-6.37	2.39	0.06
-6.2	2.42	0.06
-6.25	2.37	0.06
-6.31	2.27	0.06
-6.31	2.26	0.07
-6.31	2.26	0.06
-6.25	2.19	0.07
-6.33	2.24	0.06
-6.24	2.19	0.05
-6.31	2.19	0.06
-6.31	2.17	0.04
-6.37	2.2	0.04
